,OBJECT_NAME,SEMIAXIS,ECCENTRICITY,INCLINATION
1616,SL-8 DEB,7908.5,0.02193842068660302,56.13
1617,SL-8 DEB,7926.5,0.022645556046174225,56.18
1633,SL-8 DEB,7850.5,0.08502643143748806,56.16
1640,OV2-1 & LCS 2,7090.0,0.0018335684062059238,32.3
1641,TITAN 3C TRANSTAGE DEB,7000.0,0.0024285714285714284,32.1
1645,TITAN 3C TRANSTAGE DEB,7022.5,0.000355998576005696,32.31
1652,TITAN 3C TRANSTAGE DEB,7060.0,0.004107648725212465,32.12
1667,TITAN 3C TRANSTAGE DEB,7010.5,0.0014977533699450823,32.07
1670,TITAN 3C TRANSTAGE DEB,7093.5,0.005286529921759357,32.16
1679,TITAN 3C TRANSTAGE DEB,7055.5,0.002055134292396003,32.26
1681,TITAN 3C TRANSTAGE DEB,7038.0,0.005115089514066497,32.41
1683,TITAN 3C TRANSTAGE DEB,7146.5,0.017421115231232073,32.21
1715,TITAN 3C TRANSTAGE DEB,7083.5,0.0038822615938448506,32.19
1721,TITAN 3C TRANSTAGE DEB,7063.5,0.0027606710554257804,32.42
1725,EXPLORER 29 (GEOS 1),8072.0,0.07160555004955402,59.38
1728,DELTA 1 R/B,8070.0,0.07162329615861214,59.39
1737,EXPLORER 30,7132.5,0.01310900806168945,59.71
1738,SCOUT X-4 R/B,7091.5,0.00867235422689135,59.7
1777,A-1 (ASTERIX),7456.0,0.07443669527896996,34.26
1803,ALOUETTE 2,7939.0,0.13351807532434815,79.8
1804,DIAMANT R/B,7326.5,0.059714734184126116,34.25
1805,EXPLORER 31 (ISIS-X),8027.0,0.14289273701258254,79.77
1806,THOR AGENA B R/B,7941.0,0.1336103765268858,79.84
1813,FR 1,7040.0,0.0004261363636363636,75.87
1814,SCOUT X-4 R/B,6988.5,0.0005008227802818917,75.85
1828,TITAN 3C TRANSTAGE DEB,6994.0,0.0027166142407778096,32.29
1832,TITAN 3C TRANSTAGE DEB,7049.0,0.00680947652149241,32.23
